Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Year
Hire Me Car,2016,Noida,Car Service,India's largest cloud based digital discovery and services provisioning platform for the taxi rental,Pankaj Sharma,Angel Investors,3000000.0,Seed,2020-01-01
Shopup,2017,Bangaldesh,E-Commerce,"ShopUp provides easy access to B2B sourcing, last-mile logistics, digital credit, and business management solutions to small businesses.","Afeef Zaman, Ataur Rahim Chowdhury, Siffat Sarwar","Flourish Ventures, Lonsdale Capital",22000000.0,Series A,2020-01-01
Harmonizer India,2019,Bangalore,Tech Startup,"Energy-efficient solutions based on the Artificial Intelligence, Machine Learning and Internet of Things technology,",M R Srinivas,Kapil Dev,3000000.0,Seed Round,2020-01-01
Zomato,2008,Gurugram,Foodtech,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants.,"Deepinder Goyal, Gaurav Gupta, Pankaj Chaddah","Kora, Tiger Global Management",52000000.0,Series B,2020-01-01
Dukaan,2020,Mumbai,Tech Startup,Developer of an android application designed for businesses to sell online.,"Subhash Choudhary, Suumit Shah","Lightspeed, Matrix Partners.",6000000.0,Seed,2020-01-01
Credr,2014,Mumbai,Bike Marketplace,India’s Only 100% Inspected and Certified Used Bikes Marketplace.,"Nikhil Jain, Nittin Mittal, Sumit Chhazed","Eight Roads Ventures, On Mauritius",2000000.0,Series A,2020-01-01
Satyukt,2018,Bangalore,Agri Tech,An agritech company that provides business to business (B2B) agricultural data,"Sat Tomer, Yukti Gill","Nabventures, Social Alpha (India)",500000.0,Seed,2020-01-01
Racenergy,2018,Hyderabad,Automobiles,RACEnergy builds and deploys battery swapping infrastructure for use in various segments of vehicles.,"Arun Sreyas, Gautham Maheswaran","Growx Ventures, Huddle (Incubator)",3000000.0,Series B,2020-01-01
Tread,2020,Bangalore,Fitness Startup,A homegrown fitness startup that aims to advance the 'Fit India' initiative by offering holistic and affordable workouts.,Dinesh Godara,"Better Capital, Kunal Shah, Gaurav Munjal",1100000.0,Pre-seed,2020-01-01
Anveshan,2019,Bangalore,Foodtech,Provide quality and healthy food products,"Aayushi Khandelwal, Akhil Kansal, Kuldeep Parewa",Titan Capital,100000.0,Pre-seed,2020-01-01
Teamonk,2016,Bangalore,Food & Bevarages,India's Finest Specialty Tea company.,"Amit Dutta, Ashok Mittal","Lead Angels Network, Roots Ventures",900000.0,Pre-series A,2020-01-01
Fleetx,2017,Gurugram,Tech Startup,"Fleetx is an intelligent data platform which uses AI, machine learning, sensors and predictive analytics to help fleet owners.","Abhay Jeet Gupta, Parveen Kataria, Udbhav Rai, Vineet Sharma, Vishal Mishra","Rohit Bansal, Rohan Ranavat",3000000.0,Pre-series B,2020-01-01
Renewate,2018,Pune,Real Estate,"Tech platform helping millions of renovation contractors, property improvement professionals and businesses manage their business digitally.",Supratik Ghatak,Real Estate Accelerator Program,3000000.0,Pre-seed,2020-01-01
Tango Eye,2018,Chennai,Saas Startup,Retail Video Analytics SaaS product,Surender Gounder,"Riso Investments, Lenskart",3000000.0,Seed,2020-01-01
Rare Planet,2015,Kolkata,Reatil Startup,Rare Planet sells handicrafts made by local artisans.,"Ranodeep Saha, Vijay Kumar",Venture Catalysts,3000000.0,Pre-series A,2020-01-01
Avataa Me,2014,Bangalore,Ar Platform,AVATAAR.ME is a deep-tech 3D AR platform which delivers personalized fashion discovery experience to users on mobile devices.,Gaurav Baid,Sequoia Capital India,7000000.0,Series A,2020-01-01
Arrival,2015,"London, England, United Kingdom",Ev Startup,Arrival is a technology company that specializes in developing electric vehicles.,Denis Sverdlov,"Ups Ventures, Hyundai Motor Company",118000000.0,Pre series A,2020-01-01
Cover Genius,2014,"Sydney, New South Wales, Australia",Fintech,Cover Genius provides an insurance distribution platform designed to protect the customers of e-commerce companies,"Angus Mcdonald, Chris Bayley","King River Capital, Leap Capital",15000000.0,Series C,2020-01-01
Phononic Vibes,2018,"Milano, Lombardia, Italy",Deeptech,"Phononic Vibes introduces a new patented technology for vibration and noise control and isolation, with a circular economy approach.","Andrea Boeri, Braghin Francesco, Giovanni Capellari, Luca D'Alessandro, Stefano Caverni",Angel Investors,2300000.0,Pre series A,2020-01-01
Mikelegal,2017,Gurugram,Legaltech,MikeLegal is an AI powered legal associate that aims to build an ecosystem of legal tools,"Tushar Bhargava, Anshul Gupta","Sosv, Artesian",3000000.0,Seed,2020-01-01
Clair,2019,"New York, United States",Fintech,Clair is a social fintech that provides Instant Pay Access as a Service for human capital management and gig platforms.,"Alex Kostecki, Erich Nussbaumer, Nico Simko","Upfront Ventures, Walkabout Ventures",4500000.0,Seed,2020-01-01
Gourmet Garden,1999,"Palmwoods, Queensland, Australia",Consumer Goods,Gourmet Garden is a global market leader in chilled convenient packaged herbs.,Arjun Balaji,Advent Partners,3000000.0,Pre series A,2020-01-01
Miko,2015,Mumbai,Ai Startup,"Miko is an advanced robotics startup founded by three IIT Bombay post-graduates on the pillars of robotics, AI & IoT.","Chintan Raikar, Prashant Iyengar, Sneh Vaswani","Stride Ventures, Yournest Venture Capital",3000000.0,Pre-series B,2020-01-01
Razorpay,2014,Bangalore,Fintech,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.","Harshil Mathur, Shashank Kumar","Tiger Global Management, Sequoia Capital India",100000000.0,Series D,2020-01-01
Ninjacart,2015,Bangalore,Food Industry,"Ninjacart is a business-to-business fresh produce supply chain that connects farmers, manufactures, and brands to retailers directly.","Ashutosh Vikram, Kartheeswaran K K, Sharath Loganathan, Thiru Nagarajan, Thirukumaran Nagarajan, Vasu Devan","Syngenta Ventures, Walmart",30000000.0,Seed,2020-01-01
Wow! Momo,2008,Kolkata,Food Industry,Wow! Momo is a chain of fast-food restaurants that specializes in momos.,"Binod Kumar Homagai, Sagar Daryani, Shah Miftaur Rahman","Tiger Global Management, William Bissell",5000000.0,Debt,2020-01-01
Pepper Content,2017,Mumbai,Content Marketplace,Pepper Content is a Content-Mediation Platform that connects talented writers to organisations that require content.,"Anirudh Singla, Rishabh Shekhar","Alok Mittal, Manan Maheshwari",4200000.0,Series A,2020-01-01
Livspace,2014,Bangalore,Interior Design,"Livspace is an interior design startup that offers a platform that connects people to designers, services, and products.","Anuj Srivastava, Ramakant Sharma, Shagufta Anurag","Mercer Investments, Bessemer Venture Partners",4000000.0,Debt,2020-01-01
Acculi Labs,2017,Bangalore,Healthcare,Acculi Labs is a clinical grade smartphone based diagnostic tool,"Hariprasath M., Rupam Das",Startup Basket.,600000.0,Seed,2020-01-01
Your Md,2012,"London, England, United Kingdom",Healthcare,Your.MD is a platform committed to helping a billion people find their health by unlocking self-care with digital technology.,"Alessandro Traverso, Birger Lie, Harald Jellum, Matteo Berlucchi","Orkla Ventures, Smedvig Capital",25000000.0,Seed,2020-01-01
Antaios,2016,France,Tech Company,Developer of memory-based technology intended to solve issues of advanced computing.,Jean Pierre Nozieres,India,11000000.0,Series B,2020-01-01
Unnati,2017,Noida,Agritech,A helping hand to the farming community through Artificial Intelligence,"Amit Sinha, Ashok Prasad",Nabventures,1700000.0,Pre-series A,2020-01-01
Disprz,2015,Chennai,Edtech,"Disprz is a one-of-its-kind “knowledge-tech” start-up that strives to make people knowledgeable, productive and smarter at what they do.","Kuljit Chadha, Subramanian Viswanathan","Xseed Partners, Innoven Capital",1600000.0,Pre-series B,2020-01-01
Uni,2016,Mumbai,Fintech,The team aims to bridge the gap for credit cards and make them more accessible for people across different regions.,Nitin Gupta,"Lightspeed India Partners, Accel India",18500000.0,Seed,2020-01-01
Credit Wise Capital,1994,Mumbai,Fintech,CreditWise Capital is a consumer finance company.,"Hirak Joshi, Aalesh Avlani",Venture Catalysts,6000000.0,Seed,2020-01-01
Chargebee,2011,"San Francisco Bay Area, West Coast, Western Us",Saas Startup,Chargebee is a PCI Level 1 certified subscription and recurring billing system for SaaS and subscription based eCommerce businesses,"Kp Saravanan, Krish Subramanian, Rajaraman Santhanam, Thiyagarajan T","Accel, Steadview Capital",55000000.0,Series F,2020-01-01
Reliance Retail Ventures Ltd,2006,Mumbai,Retail,"Reliance Retail offers online shopping and a chain of neighborhood stores, supermarkets, and wholesale/specialty stores.",Mukesh Ambani,"Silver Lake, Mubadala Investment Company",70000000000.0,Series A,2020-01-01
Winuall,2019,Bangalore,Edtech,"Winuall specializes in the fields of E-learning, online quizzes, and tests, study material for competitive exams.","Ashwini Purohit, Ms Chouhan","Amit Lakhotia, Akash Gehani",2000000.0,Seed Round,2020-01-01
Genrobotics,2015,"Trivandrum, Kerala, India",Ai Startup,GenRobotic specializes in powered robotic exoskeletons with RC controlled humanoid robotic systems and Artificial Intelligence.,"Arun George, Nikhil Np, Rashid Bin Abdulla, Vimal Govind Mk",Unicorn India Ventures,300000.0,Series B,2020-01-01
Livve,2015,Cochin,Rental Space,An online platform where both owners and tenants find help in making sure their rental transaction are safe and secure.,Maya Lakshman,Chiratae Ventures,1500000.0,Seed,2020-01-01
Ergos,2012,"Samastipur, Bihar",Agritech,Ergos is building an integrated supply chain by setting up micro warehouses.,"Kishor Kumar Jha, Praveen Kumar","Aavishkaar Venture Capital, Chiratae Ventures",5000000.0,Series A,2020-01-01
Krishitantra,2017,Hyderabad,Soil-Tech,Krishi-Tantra is an Agri-IoT startup building farm automation for controlled agricultural environment.,"Sandeep Kondaji, Vishnuprasada Bhat, Anand Bellan Raman","Nabventures, Omnivore",1000000.0,Seed,2020-01-01
Pakkaprofile,2019,Bangalore,Recruitment Startup,"PakkaProfile bridges the gap between companies and the workforce by making better, unbiased decisions with the help of psychometric games","Nagmanjunath Shivakumar, Savio Sebastian",Java Capital,3000000.0,Seed,2020-01-01
Monet Networks,2014,"Irvine, California, United States",Ai Startup,Monet Networks Using sentiment and non verbal cues analysis for increased engagement and real time content feedback.,Anurag Bist,"Senseai Ventures, Evonexus",500000.0,Bridge,2020-01-01
Unocoin,2013,"Tumkur, Karnataka",Fintech,"Unocoin is an Indian bitcoin processor that enables users to buy, sell, store, use, and accept bitcoins.","Abhinand Kaseti, Harish B V, Sathvik Vishwanath, Sunny Ray","Digital Finance Group, Fundersclub",3000000.0,Series A,2020-01-01
Pesto,2017,New Delhi,Edtech,Pesto is a career accelerator for software engineers with the mission to take opportunities to places where talent exists.,"Andrew Linfoot, Ayush Jaiswal","Sriharsha Majety, Rahul Jaimini",3000000.0,Series C,2020-01-01
Nirogstreet,2016,Gurugram,Ayurveda Tech,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,Ram N Kumar,"Wavemaker Partners, Subho Ray",2000000.0,Pre-series A,2020-01-01
Bambrew,2018,Bangalore,Packaging Solution Startup,Bambrew is an online shop for reusable bamboo straws.,Vaibhav Anant,Upsparks,3000000.0,Pre-seed,2020-01-01
Omnify,2016,"San Francisco Bay Area, Silicon Valley, West Coast",Saas Startup,Omnify is a Global SaaS platform for Small Services Business,"Kabandi Saika, Manik Mehta","Saurabh Arora, Ld Sharma",3000000.0,Pre-series A,2020-01-01
Fanball Xi,2016,New Delhi,Gaming,The gaming company mostly focused on fantasy football games,Vinayak Seth,Foxhog Ventures,1000000.0,Seed,2020-01-01
Treebo Hotels,2015,Bangalore,Hospitality,"Treebo is India's tech-enabled, asset-light affordable accommodation brand.","Kadam Jeet Jain, Rahul Chaudhary, Sidharth Gupta","Ramesh Mangaleswaran, Saikiran Krishnamurthy",6000000.0,Seed Round,2020-01-01
Gps Renewables,2010,Bangalore,Cleantech,To solve the urban waste problem by utilising local technologies and business models.,"Mainak, Sreekrishna","Triodos, Caspian",3000000.0,Series A,2020-01-01
Public,2019,New Delhi,Social Media,Video-led social app Public provides users with a platform to share and view important hyperlocal videos,Azhar Iqubal,"Lee Fixel'S Addition, Sig Global, Tanglin Venture Partners",30000000.0,Series A,2020-01-01
Legal Salah,2015,Kolkata,Legaltech,Legal Salah is bringing the provision of imparting value based legal and consultancy services to the user.,Ca Abhinit Singh,I2I Capitals,1000000.0,Seed,2020-01-01
Fanplay,2018,New Delhi,Gaming,FanPlay Technologies operates as a real-money gaming startup.,"Bharat Gupta, Pritesh Kumar","Core91 Fund, Anupam Mittal",3000000.0,Seed,2020-01-01
Ecostp,2017,Bangalore,Sanitation Solutions,Eco friendly zero power zero maintenance sewage treatment plant in India.,"Simar Kohli, Tharun Kumar, Praseed Kk",Terwilliger Centre,19000000.0,Series A,2020-01-01
Coralogix,2013,"San Francisco, California, United States",Saas Startup,Coralogix is a log analytics SaaS platform that improves the delivery and maintenance process for software providers.,"Ariel Assaraf, Guy Kroupp, Lior Redlus, Yoni Farin","2B Angels, Janvest Capital Partners",25000000.0,Series B,2020-01-01
Equiwatt,2015,"Newcastle Upon Tyne, Newcastle Upon Tyne, United Kingdom",Tech Company,Equiwatt is a digital platform enabling households to get paid for saving energy at peak times.,"Johnson Fernandes, Ravneet Kaur",Rising Stars,300000.0,Series C,2020-01-01
Reliance Retail Ventures,2006,Mumbai,E-Commerce,"Reliance Retail offers online shopping and a chain of neighborhood stores, supermarkets, and wholesale/specialty stores.",Mukesh Ambani,"General Atlantic, Kohlberg Kravis Roberts",800000000.0,Series C,2020-01-01
Zhangmen,2005,"Shanghai, China",Edtech,Zhangmen is an online tutoring platform provides tutoring courses to students.,Yi Zhang,"Cicc Alpha, Vms Asset Management",400000000.0,Seed Round,2020-01-01
Agrowave,2017,Gurugram,Agritech,Agrowave engages in transforming agriculture supply chain by connecting farms to businesses.,Anu Meena,Sekhar Puli,500000.0,Series C,2020-01-01
Sapio Analytics,2018,Mumbai,Tech Company,Sapio Analytics provides AI-powered policymaking solutions for government institutions.,"Ashwin Srivastava, Hardik Somani",Unicorn India Ventures,150000.0,Seed,2020-01-01
Taimei,2013,"Jiaxing, Zhejiang, China",Healthcare,Taimei Technology provides a cloud platform for clinical research collaboration.,Lu Zhao,"Cowin Venture, Zsvc",176000000.0,Seed,2020-01-01
Avanse Financial Services,2012,Mumbai,Fintech,"Avanse, regulated by the Reserve Bank of India, is an education finance company that operates as a non-banking finance company (NBFC).",Amit Gainda,International Finance Corporation,15000000.0,Series A,2020-01-01
Industry Buying,2013,New Delhi,E-Commerce,India's largest industrial ecommerce platform,"Rahul Gupta, Swati Gupta","Blacksoil, Beenext",15000000.0,Seed,2020-01-01
Hopscotch,2011,Mumbai,E-Commerce,"Hopscotch provides an insider access to international brands for babies, kids, and moms.",Rahul Anand,"Marc Lore, Rise Capital",25000000.0,Series B,2020-01-01
Pristyn Care,2018,Gurugram,Healthcare,Pristyn Care is Health Care Startup that is disrupting Day Care Procedures.,Harsimarbir (Harsh) Singh,"Sequoia Capital India, Hummingbird Ventures",11000000.0,Series B,2020-01-01
Woodenstreet,2015,Rajastan,Home Design,Wooden Street is a online furniture platform that provides custom made & ready to order furniture.,"Dinesh Pratap, Lokendra Ranawat, Vikas Baheti, Virendra Ranawat","Ian Fund, Rajasthan Venture Capital Fund",1000000.0,Series B,2020-01-01
Acko,2016,Mumbai,Insuretech,Acko General Insurance is a private sector general insurance company in India.,"Ruchi Deepak, Varun Dua","Rps Ventures, Intact Ventures",60000000.0,Series C,2020-01-01
Farmers Fresh Zone,2015,Kochi,Agritech,FarmersFZ is an online venture for fresh and safe vegetables and agri products.,Pradeep Ps,"Artha India Ventures, Nagaraja Prakasam",470000.0,Seed,2020-01-01
Invento,2016,Bangalore,Ai Startup,Invento Robotics specializes in developing service robots intended for customer interactions.,"Balaji Viswanathan, Bharat Kumar, Mahalakshmi Radhakrishnan","Chiripal Group, Ratish Kumar Nair",3000000.0,Series C,2020-01-01
Infurnia,2014,Bangalore,Tech Startup,Infurnia Technologies is an eponymous cloud-based architecture design software platform.,"Lovepreet Mann, Nikhil Kumar, Parul Jain","Pallav Nadhani, Idein Ventures",240000.0,Seed Round,2020-01-01
Analytiqsports'S Supercric,2019,Bangalore,Entertainment,SuperCric is India's first strategy Cricket Manager simulation game,"Suhail Chandhok, Arvind Sivdas, Dhanya Param",Trifecta Capital,3000000.0,Series C,2020-01-01
Snowflake,2012,California,Tech Company,Snowflake is a cloud data platform that provides a data warehouse-as-a-service designed for the cloud.,"Benoit Dageville, Bob Muglia, Marcin Zukowski, Thierry Cruanes","Salesforce Ventures, Dragoneer Investment Group",3000000000.0,Seed Round,2020-01-01
Genietalk,2016,Indore,Tech Company,GenieTalk as a virtual assistant uses AI to bring conversation commerce with a personalised experience on the app.,"Santosh Kataria, Ankit Kimtee, Vivek Jain",Mumbai Angels Network,750000.0,Seed,2020-01-01
Classplus,2018,Noida,Edtech,Classplus offers a mobile-first SaaS platform for 3000+ tutors to offer their curriculum and operations completely online.,"Bhaswat Agarwal, Bikash Dash, Mukul Rustagi, Vatsal Rustagi","Spiral Ventures, Surge",10000000.0,Series C,2020-01-01
Mobile Premier League,2018,Bangalore,Entertainment,Mobile Premier League(MPL) is a skill based E-Sports platform where you can play your favourite mobile games,"Sai Srinivas Kiran G, Shubham Malhotra","Sequoia Capital India, Times Internet",74000000.0,Pre series A,2020-01-01
Fourth Partner Energy,2010,Hyderabad,Solar Solution,Fourth Partner Energy provides turnkey rooftop solar energy solutions for customers in India.,"Saif Dhorajiwala, Vikas Saluguti, Vivek Subramanian","Responsability, Grameen Impact India (Giii)",16000000.0,Seed Round,2020-01-01
Flipkart,2007,Bangalore,E-Commerce,Flipkart is an e-commerce marketplace that offers over 30 million products cross 70+ categories.,"Binny Bansal, Sachin Bansal","Tencent Holdings, Walmart",62000000.0,Series C,2020-01-01
Vivriti Capital,2017,Chennai,Fintech,Vivriti Capital is a marketplace for small enterprises and individuals that lack efficient access to financial services.,"Aniket Deshpande, Gaurav Kumar, Irfan Mohammed, Soumendra Ghosh, Vineet Sukumar","Aspada, Creation Investments Capital Management, Llc",1000000.0,Seed Round,2020-01-01
Insurancedekho,2017,Ludhiana,Fintech,The funding for branding and marketing activities as well as strengthening the product and technology teams,Ankit Agrawal,Girnarsoft,20000000.0,Pre series A,2020-01-01
Bestdoc,2016,Kochi,Healthcare,An Intelligent Patient Relationship Management (PRM) system for hospitals and other healthcare providers in India.,"Afsal Salu, Fayaz Bin Abdu, Soudabi",Titan Capital,2100000.0,Seed Round,2020-01-01
Byju’S,2011,Bangalore,Edtech,An Indian educational technology and online tutoring firm,Byju Raveendran,"Owl Ventures, Tiger Global Management",500000000.0,Seed,2020-01-01
Melorra,2015,Bangalore,Jewellery Startup,Melorra is an operator of an online jewelry store that is used to offer contemporary jewelry.,"Krishna Kumar, Saroja Yeramilli","Jamshed Jeejeebhoy, Symphony International Holdings",12500000.0,Series A,2020-01-01
Reliance,1973,Mumbai,Multinational Conglomerate Company,"Reliance owns businesses across India engaged in energy, petrochemicals, textiles, natural resources",Dhirubhai Ambani,"Facebook, Google, Kkr, Silver Lake",2200000000.0,Seed Round,2020-01-01
Inflexor Ventures,2020,Mumbai,Fintech,Experienced Venture Capital-General Partner focused on Technology investments.,"Parampara Capital, Venkat Vallabhaneni, Jatin Desai",Mumbai Angels Network,10000000.0,Seed Round,2020-01-01
Pandorum,2011,Bangalore,Deeptech Startup,A Bangalore based biotechnology company with focus on tissue engineering and regenerative medicine.,Tuhin Bhowmick,"021 Capital, Karnataka Information Technology Venture Capital Fund",5060000.0,Pre series A,2020-01-01
Speakin,2018,Noida,Social Network,"AI-enabled network of speakers and thought leaders, aka. experts",Deepshikha Kumar,Homage Ventures.,3000000.0,Seed Round,2020-01-01
Letsup,2015,Mumbai,Publication,"Provides News, Jobs, Information & Entertainment on WhatsApp, Absolutely free",Suhas Raikar,India,3000000.0,Seed Round,2020-01-01
Newsreach,2018,Gujarat,Publication,NewsReach India offers partner publications a digital footprint,"Darshan Shah, Soniya Kundnani",Mumbai Angels,3000000.0,Pre series A,2020-01-01
Dream11,2008,Mumbai,Entertainment,Dream11 is India’s Biggest Sports Game with 30 million+ users playing Fantasy Cricket,"Bhavit Sheth, Harsh Jain","Steadview Capital, Tencent Holdings",225000000.0,Series B,2020-01-01
Signalx,2018,Hyderabad,Saas Platform,"An AI-powered SaaS platform for corporate risk and due diligence for a comprehensive financial, legal, regulatory, and reputational risk analysis",Govind Balachandran,Chiratae Ventures,750000.0,Seed,2020-01-01
Jetsynthesys,2012,Mumbai,Tech,Gaming and entertainment startup,Rajan Navani,"Adar C. Poonawalla, Kris Gopalakrishnan",40000000.0,Series A,2020-01-01
Vesta Space Technology,2018,Pune,Tech Startup,VestaSpace Technology specialises in making small satellite platforms for commercial and scientific applications.,Arun Kumar Sureban,Mumbai Angels Network,10000000.0,Seed Round,2020-01-01
Dozee,2015,Bangalore,Healthtech,Dozee offers health and wellness monitoring products.,Gaurav Parchani,Better Capital,1600000.0,Series A,2020-01-01
Rebel Foods,2011,Pune,Food,"Known for its larger brands – Faasos, Behrouz Biryani, Oven story and Mandarin","Jaydeep Barman, Kallol Banerjee",Coatue Management,50000000.0,Pre series A,2020-01-01
Nykaa,2012,Mumbai,Fashion,Cosmetics & beauty products online,Falguni Nayar,Steadview Capital,24700000.0,Seed Round,2020-01-01
Ketto,2012,Mumbai,Finance,"Crowdfunding, Charity, E-commerce","Varun Sheth, Kunal Kapoor","Mumbai Angels, Redcliffe Capital",7700000.0,Series B,2020-01-01
Suryoday,2008,Mumbai,Finance,Banks that extends two distinct fixed deposit schemes,R. Baskar Babu,"Gaja Capital, Kotak Life, Lok Capital",800000.0,Series B,2020-01-01
Sucseed,2016,Hyderabad,Finance,Venture Partners,Vikrant Varshney,"Dr. Moti Vyas, Udit Goyal",1300000.0,Series C,2020-01-01
Unacademy,2015,Bangalore,Edtech,Unacademy is an Indian online education technology company,"Gaurav Munjal, ?Roman Saini?","Nexus Venture Partners, Sequoia Capital",150000000.0,Series B,2020-01-01
Strata,2019,Bangalore,Real Estate,"Commercial Real Estate, Commercial Property Investment, Best Long Term Investments","Lodha, Priyanka Rathore","Propstack, Saif Partners",19067328.0,Series C,2020-01-01
3One4 Capital,2016,Bangalore,Venture Capital,Use transformative capital and a deep involvement strategy to help Indian entrepreneurs,"Pranav Pai, Siddarth Pai",Mumbai Angels Network,100000000.0,Series C,2020-01-01
We-Hub,2018,Hyderabad,Entreprenurship,WE HUB is the first-of-its-kind and only State-run platform for Women Entrepreneurs.,Deepthi Ravula,Trifecta Capital,3000000.0,Series A,2020-01-01
Zomato,2008,Haryana,Food Devlivery,Get online food delivery from restaurants near you,"Deepinder Goyal, Pankaj Chaddah","Macritchie Investments, Baillie Gifford",62000000.0,Series C,2020-01-01
Vicara,2017,Bangalore,Tech Startup,A deep tech startup pioneering in motion-based interfaces and insights.,"Abhishek Satish, Adarsh Warrier",Trifecta Capital,3000000.0,Seed Round,2020-01-01
Gaana,2010,Gurugram,Entertainment,Gaana is a commercial music streaming service providing free and licensed music.,Pawan Agarwal,"Tencent Holdings, Times Internet",51000000.0,Pre series A,2020-01-01
Em3 Agri,2013,Noida,Agritech,A pioneering organization in the farming-as-a service (FaaS) space,"Rohtash Mal Cmd, Adwitiya","Global Innovation Fund, Soros Economic Development Fund",1000000.0,Seed Round,2020-01-01
Plum,2013,Thane,Cosmetics,"Shampoos, Conditioner & Hair Mask For Healthy, Happy Hair",Shankar Prasad,"Ronald Conway, Bay Partners",115000.0,Seed,2020-01-01
Odwen,2018,Noida,Warehouse,India's first do-it-yourself warehouse management system.,Vijay Anand Bhagavatula,Prospect Partners.,54000.0,Seed Round,2020-01-01
Fasal,2018,Bangalore,Agritech,Captures real-time data on crop growth conditions using on-farm sensors and delivers advisories to farmers in Indian languages,"Ananda Prakash Verma, Shailendra Tiwari","Omnivore, Zeroth.Ai",20000.0,Series B,2020-01-01
Trukky,2015,Ahmedabad,Logistics,"Transportation, logistics services & cargo services.","Saswat Sahu, Rishi Raj",Mumbai Angels.,3000000.0,Series A,2020-01-01
Bankbazaar,2008,Chennai,Online Financial Service,Check your latest Credit Score and get your Credit Report online in India for Free,"Adhil Shetty, Arjun Shetty, Rati Shetty","Ramesh Srinivasan, Amazon",9000000.0,Seed,2020-01-01
Specsmakers,2011,Chennai,Eyeglasses,"A leader in crafting stylish, high-quality, eyewear at affordable prices.",Pratik Shah,Eight Roads Ventures,3000000.0,Series B,2020-01-01
Grinntech,2013,Dehradun,Battery Design,"Grinntech has a range of Lithium-ion batteries which sets new standards in Electrical safety, Energy density, Durability","Nikhilesh Mishra, Puneet Jain","Ashok Leyland, V Lakshmi Narayanan",2000000.0,Series A,2020-01-01
Creditmantri,2012,Chennai,Online Credit Management Startup,CreditMantri is a provider of comprehensive Credit Analysis and Credit Improvement programs.,"Ranjit Punja, R Sudarshan, Gowri Mukherjee","Ranjit Punja, R Sudarshan, Gowri Mukherjee",803146.0,Series B,2020-01-01
Chai Waale,2018,Chennai,Beverage,Given the rising trend in the number of tea stalls in the city,Vidur Maheswari,"Gunavanth Vaid, Bharat Kumar Sohanraj",238000.0,Series B,2020-01-01
Deepsync,2018,Bangalore,Tech Startup,"Deepsync is a revolutionary way to record your content, without you really speaking.","Ishan Sharma, Rishikesh Kumar",Venkat Raju,300000.0,Pre series A,2020-01-01
Connectedh,2016,Gurgaon,Healthcare,The company’s vision is simple – Connected Healthcare.,"Shubham Gupta, Suresh Singh",Venture Catalysts,3000000.0,Series C,2020-01-01
Reliance Retail,2006,Mumbai,E-Commerce,"Retailer delivering superior value to its customers, suppliers and shareholders.",Mukesh Ambani,Silver Lake Partners,10220000.0,Series C,2020-01-01
Qshala,2014,Bangalore,Edtech,A platform that helps kids learn about life skills,"Sachin Ravi, Raghav Chakravarthy",Trifecta Capital,300000.0,Pre series A,2020-01-01
Pitstop,2015,Bangalore,Car Service,"Pitstop owns and operates a network of garages that provides car repair, detailing",Mihir Mohan Mishra,"Clairvest Group, Ontario Centres Of Excellence",1020000.0,Series A,2020-01-01
Zomato,2008,Haryana,Food Devlivery,Get online food delivery from restaurants near you,"Deepinder Goyal, Pankaj Chaddah","Macritchie Investments, Baillie Gifford",100000000.0,Seed,2020-01-01
Customfit Ai,2019,Bangalore,Saas Startup,Operates on a SaaS model by providing a hyper-personalised website to users.,"Ashwin Kumar, Shoaib Mohammed",Inflection Point Ventures,3000000.0,Seed Round,2020-01-01
Nirmata,2013,San Franciscao,Tech,Nirmata offers a complete solution for Kubernetes management and deployment for cloud-based apps,"Damien Toledo, Jim Bugwadia, Ritesh Patel","Damien Toledo, Jim Bugwadia, Ritesh Patel",3000000.0,Seed Round,2020-01-01
Hire Me Car,2015,Noida,Traveltech,HireMeCar.com offers customers the fastest and easiest way to plan road travel.,Anmol Singh Jaggi,Us Based Nri Investors,3000000.0,Seed,2020-01-01
Oga Fit,2017,Bangalore,Fitness Startup,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,Ashish Rawat,"Inflection Point Ventures, Mitesh Shah",3000000.0,Pre-series A,2020-01-01
Shipskart,2018,New Delhi,E-Commerce,"ShipsKart platform that streamlines the way marine stores are ordered, approved and received on board with the help of technology.","Dhruv Sawhney, Vivek Sahi, Sunny Bagla",Betatron,200000.0,Pre-series A,2020-01-01
Squadstack,2014,San Francisco,Tech Company,"Empowering consumer businesses to improve their sales conversions and funnel efficiency, using Artificial Intelligence & Data Science.","Apurv Agrawal, Kanika Jain, Rishabh Ladha, Vikas Gulati","Chiratae Ventures, Blume Ventures",5000000.0,Series A,2020-01-01
Financepeer,2017,Mumbai,Edtech,Financepeer is an AI based peer to peer lending platform.,"Debi Prasad Baral, Naveesh Reddy, Rohit Gajbhiye, Sunit Gajbhiye","Ravi Sanghvi, Pitchright Venture",3000000.0,Pre-series A,2020-01-01
Cashify,2009,Gurugram,E-Commerce,Cashify.in is an e-commerce platform for reselling used electronic gadgets.,"Amit Sethi, Mandeep Manocha, Nakul Kumar","Bessemer Venture Partners, Cdh Investments",10000000.0,Debt,2020-01-01
