company,sector,amount,description,year,stage,location,founded,founders,investor
Reliance Retail Ventures,E-Commerce,800000000.0,"Reliance Retail offers online shopping and a chain of neighborhood stores, supermarkets, and wholesale/specialty stores.",2020,unknown,Mumbai,2006.0,Mukesh Ambani,"General Atlantic, Kohlberg Kravis Roberts"
Zhangmen,EdTech,400000000.0,Zhangmen is an online tutoring platform provides tutoring courses to students.,2020,unknown,"Shanghai, China",2005.0,Yi Zhang,"CICC Alpha, VMS Asset Management"
AgroWave,AgriTech,500000.0,Agrowave engages in transforming agriculture supply chain by connecting farms to businesses.,2020,unknown,Gurugram,2017.0,Anu Meena,Sekhar Puli
Sapio Analytics,Tech company,150000.0,Sapio Analytics provides AI-powered policymaking solutions for government institutions.,2020,unknown,Mumbai,2018.0,"Ashwin Srivastava, Hardik Somani",unknown
Taimei,Healthcare,176000000.0,Taimei Technology provides a cloud platform for clinical research collaboration.,2020,unknown,"Jiaxing, Zhejiang, China",2013.0,Lu Zhao,"Cowin Venture, ZSVC"
Avanse Financial Services,FinTech,15000000.0,"Avanse, regulated by the Reserve Bank of India, is an education finance company that operates as a non-banking finance company (NBFC).",2020,unknown,Mumbai,2012.0,Amit Gainda,International Finance Corporation
Industry Buying,E-Commerce,15000000.0,India's largest industrial ecommerce platform,2020,unknown,New Delhi,2013.0,"Rahul Gupta, Swati Gupta","BlackSoil, BEENEXT"
Hopscotch,E-Commerce,25000000.0,"Hopscotch provides an insider access to international brands for babies, kids, and moms.",2020,unknown,Mumbai,2011.0,Rahul Anand,"Marc Lore, Rise Capital"
Pristyn Care,Healthcare,11000000.0,Pristyn Care is Health Care Startup that is disrupting Day Care Procedures.,2020,unknown,Gurugram,2018.0,Harsimarbir (Harsh) Singh,"Sequoia Capital India, Hummingbird Ventures"
WoodenStreet,Home Design,1000000.0,Wooden Street is a online furniture platform that provides custom made & ready to order furniture.,2020,unknown,Rajastan,2015.0,"Dinesh Pratap, Lokendra Ranawat, Vikas Baheti, Virendra Ranawat","IAN Fund, Rajasthan Venture Capital Fund"
ACKO,InsureTech,60000000.0,Acko General Insurance is a private sector general insurance company in India.,2020,unknown,Mumbai,2016.0,"Ruchi Deepak, Varun Dua","RPS Ventures, Intact Ventures"
Farmers Fresh Zone,AgriTech,470000.0,FarmersFZ is an online venture for fresh and safe vegetables and agri products.,2020,unknown,Kochi,2015.0,Pradeep PS,"Artha India Ventures, Nagaraja Prakasam"
Invento,AI startup,0.0,Invento Robotics specializes in developing service robots intended for customer interactions.,2020,unknown,Bangalore,2016.0,"Balaji Viswanathan, Bharat Kumar, Mahalakshmi Radhakrishnan","Chiripal Group, Ratish Kumar Nair"
Infurnia,Tech Startup,240000.0,Infurnia Technologies is an eponymous cloud-based architecture design software platform.,2020,unknown,Bangalore,2014.0,"Lovepreet Mann, Nikhil Kumar, Parul Jain","Pallav Nadhani, Idein Ventures"
AnalytIQSports's SuperCric,Entertainment,0.0,SuperCric is India's first strategy Cricket Manager simulation game,2020,unknown,Bangalore,2019.0,"Suhail Chandhok, Arvind Sivdas, Dhanya Param",unknown
Snowflake,Tech company,3000000000.0,Snowflake is a cloud data platform that provides a data warehouse-as-a-service designed for the cloud.,2020,unknown,California,2012.0,"Benoit Dageville, Bob Muglia, Marcin Zukowski, Thierry Cruanes","Salesforce Ventures, Dragoneer Investment Group"
GenieTalk,Tech company,750000.0,GenieTalk as a virtual assistant uses AI to bring conversation commerce with a personalised experience on the app.,2020,unknown,Indore,2016.0,"Santosh Kataria, Ankit Kimtee, Vivek Jain",unknown
Classplus,EdTech,10000000.0,Classplus offers a mobile-first SaaS platform for 3000+ tutors to offer their curriculum and operations completely online.,2020,unknown,Noida,2018.0,"Bhaswat Agarwal, Bikash Dash, Mukul Rustagi, Vatsal Rustagi","Spiral Ventures, Surge"
Mobile Premier League,Entertainment,74000000.0,Mobile Premier League(MPL) is a skill based E-Sports platform where you can play your favourite mobile games,2020,unknown,Bangalore,2018.0,"Sai Srinivas Kiran G, Shubham Malhotra","Sequoia Capital India, Times Internet"
Fourth Partner Energy,Solar solution,16000000.0,Fourth Partner Energy provides turnkey rooftop solar energy solutions for customers in India.,2020,unknown,Hyderabad,2010.0,"Saif Dhorajiwala, Vikas saluguti, Vivek Subramanian","responsAbility, Grameen Impact India (GIII)"
Flipkart,E-Commerce,62000000.0,Flipkart is an e-commerce marketplace that offers over 30 million products cross 70+ categories.,2020,unknown,Bangalore,2007.0,"Binny Bansal, Sachin Bansal","Tencent Holdings, Walmart"
Vivriti Capital,FinTech,1000000.0,Vivriti Capital is a marketplace for small enterprises and individuals that lack efficient access to financial services.,2020,unknown,Chennai,2017.0,"Aniket Deshpande, Gaurav Kumar, Irfan Mohammed, Soumendra Ghosh, Vineet Sukumar","Aspada, Creation Investments Capital Management, LLC"
InsuranceDekho,FinTech,20000000.0,The funding for branding and marketing activities as well as strengthening the product and technology teams,2020,unknown,Ludhiana,2017.0,Ankit Agrawal,GirnarSoft
BestDoc,Healthcare,2100000.0,An Intelligent Patient Relationship Management (PRM) system for hospitals and other healthcare providers in India.,2020,unknown,Kochi,2016.0,"Afsal Salu, Fayaz Bin Abdu, Soudabi",unknown
Byju’s,EdTech,500000000.0,An Indian educational technology and online tutoring firm,2020,unknown,Bangalore,2011.0,Byju Raveendran,"Owl Ventures, Tiger Global Management"
Melorra,Jewellery startup,12500000.0,Melorra is an operator of an online jewelry store that is used to offer contemporary jewelry.,2020,unknown,Bangalore,2015.0,"Krishna Kumar, Saroja Yeramilli","Jamshed Jeejeebhoy, Symphony International Holdings"
Reliance,Multinational conglomerate company,2200000000.0,"Reliance owns businesses across India engaged in energy, petrochemicals, textiles, natural resources",2020,unknown,Mumbai,1973.0,Dhirubhai Ambani,"Facebook, Google, KKR, Silver Lake"
Inflexor Ventures,FinTech,10000000.0,Experienced Venture Capital-General Partner focused on Technology investments.,2020,unknown,Mumbai,2020.0,"Parampara Capital, Venkat Vallabhaneni, Jatin Desai",unknown
Pandorum,Deeptech startup,5060000.0,A Bangalore based biotechnology company with focus on tissue engineering and regenerative medicine.,2020,unknown,Bangalore,2011.0,Tuhin Bhowmick,"021 Capital, Karnataka Information Technology Venture Capital Fund"
SpeakIn,Social Network,0.0,"AI-enabled network of speakers and thought leaders, aka. experts",2020,unknown,Noida,2018.0,Deepshikha Kumar,Homage Ventures.
LetsUp,Publication,0.0,"Provides News, Jobs, Information & Entertainment on WhatsApp, Absolutely free",2020,unknown,Mumbai,2015.0,Suhas raikar,unknown
Newsreach,Publication,0.0,NewsReach India offers partner publications a digital footprint,2020,unknown,Gujarat,2018.0,"Darshan Shah, Soniya Kundnani",Mumbai Angels
Dream11,Entertainment,225000000.0,Dream11 is India’s Biggest Sports Game with 30 million+ users playing Fantasy Cricket,2020,unknown,Mumbai,2008.0,"Bhavit Sheth, Harsh Jain","Steadview Capital, Tencent Holdings"
SignalX,SaaS platform,750000.0,"An AI-powered SaaS platform for corporate risk and due diligence for a comprehensive financial, legal, regulatory, and reputational risk analysis",2020,unknown,Hyderabad,2018.0,Govind Balachandran,unknown
JetSynthesys,Tech,40000000.0,Gaming and entertainment startup,2020,unknown,Mumbai,2012.0,Rajan Navani,"Adar C. Poonawalla, Kris Gopalakrishnan"
Vesta Space Technology,Tech Startup,10000000.0,VestaSpace Technology specialises in making small satellite platforms for commercial and scientific applications.,2020,unknown,Pune,2018.0,Arun Kumar Sureban,unknown
Dozee,HealthTech,1600000.0,Dozee offers health and wellness monitoring products.,2020,unknown,Bangalore,2015.0,Gaurav Parchani,unknown
Rebel Foods,Food,50000000.0,"Known for its larger brands – Faasos, Behrouz Biryani, Oven story and Mandarin",2020,unknown,Pune,2011.0,"Jaydeep Barman, Kallol Banerjee",Coatue Management
Nykaa,Fashion,24700000.0,Cosmetics & beauty products online,2020,unknown,Mumbai,2012.0,Falguni Nayar,Steadview Capital
Ketto,Finance,7700000.0,"Crowdfunding, Charity, E-commerce",2020,unknown,Mumbai,2012.0,"Varun Sheth, Kunal Kapoor","Mumbai Angels, Redcliffe Capital"
Suryoday,Finance,800000.0,Banks that extends two distinct fixed deposit schemes,2020,unknown,Mumbai,2008.0,R. Baskar Babu,"Gaja Capital, Kotak Life, Lok Capital"
SucSEED,Finance,1300000.0,Venture Partners,2020,unknown,Hyderabad,2016.0,Vikrant Varshney,"DR. Moti Vyas, Udit Goyal"
Unacademy,EdTech,150000000.0,Unacademy is an Indian online education technology company,2020,unknown,Bangalore,2015.0,"Gaurav Munjal, ?Roman Saini?","Nexus Venture Partners, Sequoia Capital"
Strata,Real Estate,19067328.0,"Commercial Real Estate, Commercial Property Investment, Best Long Term Investments",2020,unknown,Bangalore,2019.0,"Lodha, Priyanka Rathore","Propstack, SAIF Partners"
3one4 Capital,Venture capital,100000000.0,Use transformative capital and a deep involvement strategy to help Indian entrepreneurs,2020,unknown,Bangalore,2016.0,"Pranav Pai, Siddarth Pai",unknown
WE-Hub,Entreprenurship,0.0,WE HUB is the first-of-its-kind and only State-run platform for Women Entrepreneurs.,2020,unknown,Hyderabad,2018.0,Deepthi Ravula,unknown
Zomato,Food devlivery,62000000.0,Get online food delivery from restaurants near you,2020,unknown,Haryana,2008.0,"Deepinder Goyal, Pankaj Chaddah","MacRitchie Investments, Baillie Gifford"
Vicara,Tech Startup,0.0,A deep tech startup pioneering in motion-based interfaces and insights.,2020,unknown,Bangalore,2017.0,"Abhishek Satish, Adarsh Warrier",unknown
Gaana,Entertainment,51000000.0,Gaana is a commercial music streaming service providing free and licensed music.,2020,unknown,Gurugram,2010.0,Pawan Agarwal,"Tencent Holdings, Times Internet"
EM3 Agri,AgriTech,1000000.0,A pioneering organization in the farming-as-a service (FaaS) space,2020,unknown,Noida,2013.0,"Rohtash Mal CMD, Adwitiya","Global Innovation Fund, Soros Economic Development Fund"
Plum,Cosmetics,115000.0,"Shampoos, Conditioner & Hair Mask For Healthy, Happy Hair",2020,unknown,Thane,2013.0,Shankar Prasad,"Ronald Conway, Bay Partners"
Odwen,Warehouse,54000.0,India's first do-it-yourself warehouse management system.,2020,unknown,Noida,2018.0,Vijay Anand Bhagavatula,Prospect Partners.
Fasal,AgriTech,20000.0,Captures real-time data on crop growth conditions using on-farm sensors and delivers advisories to farmers in Indian languages,2020,unknown,Bangalore,2018.0,"Ananda Prakash Verma, Shailendra Tiwari","Omnivore, Zeroth.AI"
Trukky,Logistics,0.0,"Transportation, logistics services & cargo services.",2020,unknown,Ahmedabad,2015.0,"Saswat Sahu, Rishi Raj",Mumbai Angels.
BankBazaar,Online financial service,9000000.0,Check your latest Credit Score and get your Credit Report online in India for Free,2020,unknown,Chennai,2008.0,"Adhil Shetty, Arjun Shetty, Rati Shetty","Ramesh Srinivasan, Amazon"
Specsmakers,Eyeglasses,3000000.0,"A leader in crafting stylish, high-quality, eyewear at affordable prices.",2020,unknown,Chennai,2011.0,Pratik Shah,Eight Roads Ventures
Grinntech,Battery design,2000000.0,"Grinntech has a range of Lithium-ion batteries which sets new standards in Electrical safety, Energy density, Durability",2020,unknown,Dehradun,2013.0,"Nikhilesh Mishra, Puneet Jain","Ashok Leyland, V Lakshmi Narayanan"
CreditMantri,Online credit management startup,803146.0,CreditMantri is a provider of comprehensive Credit Analysis and Credit Improvement programs.,2020,unknown,Chennai,2012.0,"Ranjit Punja, R Sudarshan, Gowri Mukherjee","Ranjit Punja, R Sudarshan, Gowri Mukherjee"
Chai Waale,Beverage,238000.0,Given the rising trend in the number of tea stalls in the city,2020,unknown,Chennai,2018.0,Vidur Maheswari,"Gunavanth Vaid, Bharat Kumar Sohanraj"
Deepsync,Tech Startup,300000.0,"Deepsync is a revolutionary way to record your content, without you really speaking.",2020,unknown,Bangalore,2018.0,"Ishan Sharma, Rishikesh Kumar",Venkat Raju
ConnectedH,Healthcare,0.0,The company’s vision is simple – Connected Healthcare.,2020,unknown,Gurgaon,2016.0,"Shubham Gupta, Suresh Singh",unknown
Reliance Retail,E-Commerce,10220000.0,"Retailer delivering superior value to its customers, suppliers and shareholders.",2020,unknown,Mumbai,2006.0,Mukesh Ambani,Silver Lake Partners
QShala,EdTech,300000.0,A platform that helps kids learn about life skills,2020,unknown,Bangalore,2014.0,"Sachin Ravi, Raghav Chakravarthy",unknown
Pitstop,Car Service,1020000.0,"Pitstop owns and operates a network of garages that provides car repair, detailing",2020,unknown,Bangalore,2015.0,Mihir Mohan Mishra,"Clairvest Group, Ontario Centres of Excellence"
Zomato,Food devlivery,100000000.0,Get online food delivery from restaurants near you,2020,unknown,Haryana,2008.0,"Deepinder Goyal, Pankaj Chaddah","MacRitchie Investments, Baillie Gifford"
Customfit ai,SaaS startup,0.0,Operates on a SaaS model by providing a hyper-personalised website to users.,2020,unknown,Bangalore,2019.0,"Ashwin Kumar, Shoaib Mohammed",unknown
Nirmata,Tech,0.0,Nirmata offers a complete solution for Kubernetes management and deployment for cloud-based apps,2020,unknown,San Franciscao,2013.0,"Damien Toledo, Jim Bugwadia, Ritesh Patel","Damien Toledo, Jim Bugwadia, Ritesh Patel"
Hire Me Car,TravelTech,0.0,HireMeCar.com offers customers the fastest and easiest way to plan road travel.,2020,Seed,Noida,2015.0,Anmol Singh Jaggi,US based NRI Investors
Oga Fit,Fitness startup,0.0,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,2020,Pre-series A,Bangalore,2017.0,Ashish Rawat,"Inflection Point Ventures, Mitesh Shah"
ShipsKart,E-Commerce,200000.0,"ShipsKart platform that streamlines the way marine stores are ordered, approved and received on board with the help of technology.",2020,Pre-series A,New Delhi,2018.0,"Dhruv Sawhney, Vivek Sahi, Sunny Bagla",Betatron
SquadStack,Tech company,5000000.0,"Empowering consumer businesses to improve their sales conversions and funnel efficiency, using Artificial Intelligence & Data Science.",2020,Series A,San Francisco,2014.0,"Apurv Agrawal, Kanika Jain, Rishabh Ladha, Vikas Gulati","Chiratae Ventures, Blume Ventures"
Financepeer,EdTech,3000000.0,Financepeer is an AI based peer to peer lending platform.,2020,Pre-series A,Mumbai,2017.0,"Debi Prasad Baral, Naveesh Reddy, Rohit Gajbhiye, Sunit Gajbhiye","Ravi Sanghvi, PitchRight Venture"
Cashify,E-Commerce,10000000.0,Cashify.in is an e-commerce platform for reselling used electronic gadgets.,2020,Debt,Gurugram,2009.0,"Amit Sethi, Mandeep Manocha, Nakul Kumar","Bessemer Venture Partners, CDH Investments"
Etrio,EV startup,3000000.0,"Etrio is an electric vehicle company in India with tata ace electric, Electric Tata ace HT",2020,Series A,Hyderabad,2017.0,Deepak MV,HNIs
Codeyoung,EdTech,0.0,Codeyoung provides live online coding classes for kids between the age of 5 - 17.,2020,Seed,Bangalore,2019.0,"Shailendra Dhakad, Rupika Taneja",Guild Capital
StayQrious,EdTech,2000000.0,"Live online coding courses with social learning. Build coding skills, confident communication and leadership skills with your very own coach.",2020,Seed,Bangalore,2020.0,"Aanand Srinivas, Avinash Anand, Shankar Ram A",Y Combinator
Sunstone Eduversity,EdTech,3000000.0,India's Only Business School That Offers MBA & PGDM Programs With 100% Placement Assurance.,2020,Series A,Gurugram,2014.0,"Ashish Munjal, Piyush Nangru",Prime Venture Partners
Infilect,SaaS startup,1500000.0,Infilect Technologies specialises in visual content intelligence by parsing large-scale visual content such as photos and videos,2020,Pre-series A,Bangalore,2015.0,"Anand Prabhu Subramanian, Vijay Gabale","Mela Ventures, 1Crowd"
MobiGarage,E-Commerce,0.0,An ecommerce platform for refurbished electronics.,2020,Pre-series A,New Delhi,2017.0,"Vaibhav Kapoor, Pulkit Kapoor",unknown
Samunnati,Agriculture,20000000.0,Samunnati is a financial service provider focused on agri value chains.,2020,Debt,Chennai,2014.0,Anil Kumar,"responsAbility, Accel"
WeInnovate Biosolutions,Startup laboratory,0.0,Startup working dedicatedly in the area of healthcare-therapeutic solutions.,2020,Seed,Pune,2016.0,"Dr Milind Choudhari, Dr Prasad Bhagat, and Dr Anupama",Chiratae ventures
Yummy Corp,Food Industry,12000000.0,"Yummy Corp is a food & beverages company that provides delicious, fresh, and creative food solutions for everyday corporate and group needs.",2020,Series B,"Tangerang, Jawa Barat, Indonesia",2017.0,Mario Suntanu,"Palm Drive Capital, Amatil X Ventures"
Smallcase,FinTech,13400000.0,Smallcases are portfolios of stocks or ETFs created by India's top financial experts.,2020,Series B,Bangalore,2015.0,"Anugrah Shrivastava, Rohan Gupta, Vasanth Kamath","Sequoia Capital India, Blume Ventures"
Clairvolex,Tech Startup,2000000.0,Clairvolex is an IP solutions company that manages IP assets of large corporations using an IPAM model.,2020,Debt,California,2006.0,Manoj Pillai,"JF Mauritius SPV, IndusAge Partners"
Assiduus,E-Commerce,1000000.0,"Assiduus leverages its eCommerce experience to help build, grow and scale your brand on various eCommerce platforms",2020,Series A,Bangalore,0.0,Somdutta Singh,VC Firm K Partners
Brinton,HealthTech,1300000.0,Brinton is one of the fastest growing Pharmaceutical Companies spreading its network worldwide.,2020,Debt,California,2014.0,Rahul Darda,"India Alternatives Private Equity Fund, Tata Capital"
AFK Gaming,Entertainment,200000.0,AFK Gaming is a media and entertainment and gaming company located in Mumbai.,2020,Pre-series A,Mumbai,2012.0,Nishant Patel,unknown
Infarm,AgriTech,170000000.0,Infarm builds and distributes highly efficient vertical farms throughout cities to grow fresh produce right in your neighbourhood.,2020,Series C,Berlin,2013.0,"Erez Galonska, Guy Galonska, Osnat Michaeli","Bonnier Ventures, Hanaco Venture Capital"
Zuper,SaaS startup,1100000.0,Zuper is a productivity suite for service businesses to mobile field workforce and automate all business operations.,2020,Seed,Seattle,2016.0,Vijay Narasiman,"Gemba Capital, Gunderson Dettmer"
mCaffeine,Personal care startup,2900000.0,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.",2020,Series B,Mumbai,2015.0,"Tarun Sharma, Vikas Lachhwani","RPSG Ventures, Amicus Capital"
Origa,FinTech,2000000.0,The charioteer of your growth at all times.,2020,Debt,Andheri,2013.0,Shrirang Tambe,"500 Startups, ah! Ventures"
GullyBuy Software,Tech Startup,543000.0,To deliver a solution that will provide shopping convenience to every consumer in India,2020,Pre-series A,Pune,2019.0,Shirish Deodhar,unknown
Recordent,FinTech,0.0,A technology-enabled platform that helps MSMEs to increase their business efficiency through collection of dues,2020,Seed,Hyderabad,2019.0,Harish Mamtani,unknown
MPL,Entertainment,90000000.0,Mobile Premier League is the mobile e-Sports platform based in India.,2020,Series C,Bangalore,2018.0,"Shubham Malhotra, Sai Srinivas","Base Partners, GO Ventures"
Penny,SaaS startup,1300000.0,Offer various development solutions and mainly focus on helping startups,2020,Seed,Riyadh,2020.0,"Iyad Aldalooj, Majid Aldalooj, Mohammed Ibrahim",unknown
Onsitego,Customer service company,30000000.0,Onsitego is a customer service company for device and appliance repairs.,2020,Series B,Mumbai,2010.0,Kunal Mahipal,"Accel, Zodius Capital"
Precily,SaaS startup,0.0,Precily is Artificial Intelligence platform for enterprises that increases efficiency of workforce by providing AI based solutions.,2020,Seed,California,2017.0,Bharath Rao,"Windrose Capital, Anil Advani"
SmartClean,Tech Startup,3400000.0,SmartClean Technologies is an AI company that offers data-driven cleaning operations designed for facilities.,2020,Pre- series A,Singapore,2017.0,"Abhishek Mishra, Kush Agarwal, Lav Agarwal, Stella Hu","Seeds Capital, AIM Smart City"
ClanConnect,Marketing startup,600000.0,"AI-driven influencer marketing platform ClanConnect.ai, which helps brands make their campaigns more data and result-oriented",2020,Seed,Delhi,0.0,"Kunal Kishore Sinha, Sagar Pushp",unknown
Servify,Service industry,23000000.0,Servify is a self-learning platform that provides device management services and warranty solutions.,2020,Series C,Mumbai,2015.0,Sreevathsa Prabhakar,"Blume Ventures, Tetrao"
ShareChat,Social Media,40000000.0,ShareChat is a social networking and regional content platform.,2020,Pre-series C,Bangalore,2015.0,"Ankush Sachdeva, Bhanu Pratap Singh, Bhanu Singh, Farid Ahsan","Lightspeed venture partners, saif partners"
Rephrase.ai,AI,1500000.0,Rephrase.ai helps in creating high-quality videos and animations through an AI-powered visual dubbing tool.,2020,Seed,Bangalore,2018.0,"Ashray Malhotra, Nisheeth Lahoti, Shivam Mangla","Techstars Bangalore Accelerator, Techstars"
Melorra,Jewellery,8090000.0,"Buy Latest Gold, Diamond & Gemstone Jewellery Designs Online Rings, Earrings, Necklace",2020,Debt,Bangalore,2015.0,"Saroja Yeramilli, R Krishnakumar","Shadows Holdings, Lightbox"
FabHotels,Hospitality,1030000.0,FabHotels is a network of 3 star budget hotels in India,2020,Series B,Gurugram,2014.0,"Adarsh Manpuria, Vaibhav Aggarwal","RB Investments Pte. Ltd, Goldman Sachs"
EkAnek,Tech Startup,5040000.0,EkAnek Networks is a new startup that is focused on building the ecosystem for new age brands in lifestyle categories,2020,Edge,New Delhi,2018.0,"Chandranshu Sinha, Kartik Sheth","Lightspeed India Partners, Sequoia Capital India"
Cub McPaws,AR startup,800000.0,Cub McPaws is a kids clothing brand.,2020,Pre-series A,Mumbai,2018.0,"Shah, Abhay Bhat",Venture Catalysts
Zimyo,HR Tech startup,1500000.0,Employee experience platform that empowers organizations to manage and retain great talent!,2020,Seed,Gurgaon,2018.0,"Ajay Kadyan, Kumar Mayank","Abhishant Pant, Chiranth Patil"
PumPumPum,Automotive Startup,360000.0,Pumpumpum is a car rental company,2020,Debt,Gurgaon,2018.0,"Tarun Lawadia, Sameer Kalra",unknown
Burgerama,Food Startup,0.0,Burgerama is a unit of Junket Foods Private Limited,2020,Pre-series A,Gurgaon,2018.0,Kabir Bose,"Madison, Anicut"
Moms Co,Healthcare,8000000.0,The Moms Co. creates a safe and natural formulated products for babies that are certified toxin-free,2020,Series B,Gurgaon,2016.0,"Malika Datt Sadani, Mohit Sadaani","DSG Consumer Partners, Saama Capital"
DillyHub,Publication,1400000.0,A service that promotes and facilitates the works of independent comic artists,2020,Seed,Seoul,2018.0,Ji Cheol Ryu,"Kakao Ventures, Shinhan Capital"
FPL Technologies,FinTech,10000000.0,FPL is on a mission to re-imagine credit and payments from first principles and is building a mobile-first credit card,2020,Series A,Pune,2019.0,"Anurag Sinha, Rupesh Kumar, Vibhav Hathi","Matrix Partners India, Hummingbird Ventures"
FITTR,Fitness startup,2000000.0,Fitness Social Network & Consultation Platform that helps you achieve your Health & Fitness goals.,2020,Pre-series A,Pune,2016.0,"Jitendra Chouksey, Sonal Singh, Jyoti Dabas, Bala Krishna Reddy, Rohit Chattopadhyay.",Surge
Illumnus,EdTech Startup,100000.0,"An innovative EdTech startup from IITB & BITS alumni, offering B2B SaaS-based collaborative LMS for Schools and Universities",2020,Seed,Pune,2018.0,"Akash Deep Singhal, Akshaya Singhal, Devashish Saxena, Gauri Dehnkar",23 High Networth Individuals (HNIs).
CashKaro,E-Commerce,10000000.0,Cashkaro is a coupons and cashback site rewarding customers for visiting online retailers through their site.,2020,Series B,Gurgaon,2012.0,"Rohan Bhargava, Swati Bhargava","Ratan Tata, Kalaari Capital"
Newton School,EdTech Startup,650000.0,Newton School is a platform to learn and develop skills,2020,Seed,Bangalore,2019.0,"Nishant Chandra, Siddharth Maheshwari",Nexus Venture Partners
Airmeet,Tech Startup,12000000.0,"Airmeet is an all-in-one events platform for virtual summits, meetups, and workshops that includes virtual social lounge",2020,Series A,Bangalore,2019.0,"Lalit Mangal, Manoj Singh, Vinay Kumar Jasti","Global Founders Capital, Redpoint"
Observe ai,Tech,54000000.0,"Observe.AI develops a voice AI platform for contact centers, turning agents into top performers.",2020,Series B,San Francisco,2017.0,"Akash Singh, Sharath Keshava Narayana, Swapnil Jain","01 Advisors, Steadview Capital"
InCred,Finance,5000000.0,"Provide loans for all your needs like personal loan for wedding, education loan, business loan",2020,Debt,Mumbai,2016.0,Bhupinder Singh,"Pushpak Credit, Fiscal"
Toppr,EdTech,35000000.0,Toppr is an Indian educational technology and online tutoring firm,2020,Series D,Mumbai,2013.0,"Zishaan Hayath, Hemanth Goteti","Kaizenvest, Foundation Holdings"
CarTrade,Car Trade,42500000.0,Buy and Sell Used Cars,2020,Series H,Mumbai,2009.0,Vinay Sanghi,"Pincus, JP Morgan, Temasek, March Capital"
LEAD School,EdtTech,28000000.0,Offers a high-end digital classroom system focused on enhancing the learning experience,2020,Series C,Mumbai,2012.0,"Sumeet Mehta, Smita Deorah","Westbridge Capital, Elevar Equity"
Servify,Manufacturing,11370000.0,"Enables top OEMs & ODMs in device distribution, sales, warranty",2020,Series C,Mumbai,2015.0,Sreevathsa Prabhakar,"Blume Ventures, Tetrao"
Lido Learning,EdTech,7500000.0,"Online classes for Std 4-9 in Math, Science, Coding, English & Leadership with top 1% tutors ?",2020,Series B,Mumbai,2019.0,Sahil Sheth,"BAce Capital, Madhur Deora"
Apna.co,Job portal,8000000.0,Can find all types of jobs from entry level to experienced people in over 60+ categories.,2020,Series A,Bangalore,2019.0,Nirmit Parikh,"Lightspeed India, Sequoia Capital India"
Quintype Technologies,Tech,325000.0,"Building a suite of digital publishing solutions to simplify content creation, distribution",2020,Series A,Bangalore,2014.0,Amit Rathore,"IIFL Asset Management, Raghav Bahl"
Dunzo,Tech,28000000.0,Order online and get free delivery from your nearby restaurants,2020,Series E,Bangalore,2014.0,"Kabeer Biswas, Ankur Agarwal, Dalvir Suri, Mukund Jha","Wes Schwalje, Alteria Capital"
Entropik,AI platform,8000000.0,Gain insights into human emotions with AI-powered platform affect lab.,2020,Series A,Bangalore,2016.0,Ranjan Kumar,"IDFC-Parampara Fund, Bharat Innovation Fund"
Livspace,Home Design,9000000.0,Interior design marketplace that connects interior designers,2020,Series D,Bangalore,2014.0,"Anuj Srivastava, Ramakant Sharma","Mercer Investments, Nicholas Cator"
Ultraviolette Automotive,Automation,410000.0,Industries Automotive Electric Vehicle Energy Energy Storage,2020,Series B,Bangalore,2015.0,"Narayan Subramaniam, Niraj Rajmohan",TVS Motor Company
WinZO,Gaming,18000000.0,WinZO is a mobile e-Sports gaming platform in India. It is available in 10 regional languages of India.,2020,Series B,New Delhi,2016.0,"Paavan Nanda, Saumya Singh Rathore","Makers Fund, Courtside Ventures"
SenseHawk,Solar SaaS,5000000.0,SenseHawk is a SaaS platform that helps improve processes and saves cost in the development,2020,Series A,Bangalore,2016.0,"Swarup Mavanoor, Rahul Sankhe","Falcon Edge Capital, SAIF Partners"
Railofy,WL & RAC protection,900000.0,Enables waitlisted passengers to reach their destination at the lowest possible price if their ticket is not,2020,Seed,Mumbai,2019.0,"Rohan Dedhia, Vaibhav Saraf, Hrishabh Sanghvi",Chiratae Ventures.
Eloelo,Social commerce,450000.0,"Social Commerce Venture for Wellness. View company info, jobs, team members, culture, funding and more.",2020,Seed,Bangalore,2020.0,"Saurabh Pandey, Akshay Dubey",unknown
Aibono,AgriTech,2000000.0,A next dimension food & farming platform that unites two ends of the food chain from growing to consuming,2020,Pre-series A,Bangalore,2014.0,Vivek Rajkumar,"Menterra Venture Advisors, Rianta Capital"
BuildPan,SaaS startup,500000.0,"Buildpan helps you with continuous build, development and user feedback for iOS and Android development.",2020,Seed,Indore,2019.0,"Sonal Dandotia, Shantanu S, Virendra Chouhan, Vaibhav Tiwari","Sunil Kumar Singhvi, Yusho Kawata"
Homelane,Home interior services,8000000.0,Explore 1000's of fully customizable home interior designs.,2020,Bridge,Bangalore,2014.0,"Rama Harinath, Srikanth Iyer","Accel Partners, Sequoia Capital, Evolvence India, JSW Ventures"
MyGlamm,Fashion,1000000.0,Buy Makeup kit & Cosmetics Products from international makeup brand,2020,Series B,Mumbai,2015.0,Darpan Sanghvi,Bessemer Venture Partners
Aviom,Finance,682000.0,A social impact focused housing finance company catering to housing needs of customers in semi urban areas,2020,Debt,New Delhi,2016.0,Kajal Ilmi,"Insitor Partners, C4D Partners"
